id, price
0,188694.71711998378
1,480489.5258941658
2,606991.4698124944
3,882081.3519533747
4,391508.4484118272
5,391508.4484118272
6,215677.87699288107
7,617782.3134764803
8,225705.58307757005
9,1735183.003726242
10,870032.5945491011
11,606991.4698124944
12,359642.2596950136
13,226219.01785504006
14,617782.3134764803
15,166937.30629399573
16,1042945.2607770796
17,1134001.6990174698
18,1341747.0895544484
19,189064.08965638097
20,606991.4698124944
21,285758.00624641817
22,1341747.0895544484
23,242673.59046502272
24,523899.4798635875
25,513684.84358828794
26,242673.59046502272
27,328658.3404697368
28,1735183.003726242
29,242673.59046502272
30,606991.4698124944
31,606991.4698124944
32,447393.07800252514
33,606991.4698124944
34,617782.3134764803
35,189064.08965638097
36,242673.59046502272
37,242673.59046502272
38,1337193.2654881747
39,523899.4798635875
40,166937.30629399573
41,902955.1399885372
42,457362.1152339234
43,215677.87699288107
44,617782.3134764803
45,359642.2596950136
46,166937.30629399573
47,457362.1152339234
48,166937.30629399573
49,260814.68342665635
50,378714.56945355114
51,326871.75326330133
52,166937.30629399573
53,326871.75326330133
54,523899.4798635875
55,242673.59046502272
56,447393.07800252514
57,242673.59046502272
58,326871.75326330133
59,189064.08965638097
60,188694.71711998378
61,715764.3954502326
62,447393.07800252514
63,1788708.125014535
64,1173149.1146972347
65,285758.00624641817
66,1134001.6990174698
67,1333170.4738949176
68,326871.75326330133
69,252051.57301407485
70,1173149.1146972347
71,1103848.1583133996
72,426321.50417506485
73,260611.9366660197
74,457362.1152339234
75,540614.0749546445
76,523899.4798635875
77,624029.0872394139
78,166937.30629399573
79,328658.3404697368
80,426321.50417506485
81,699788.9503171239
82,882081.3519533747
83,166937.30629399573
84,523899.4798635875
85,994868.576819021
86,391508.4484118272
87,523899.4798635875
88,326871.75326330133
89,617782.3134764803
90,523899.4798635875
91,260611.9366660197
92,617782.3134764803
93,376034.97850691795
94,513684.84358828794
95,326871.75326330133
96,166937.30629399573
97,242673.59046502272
98,523899.4798635875
99,285758.00624641817
100,326871.75326330133
101,242673.59046502272
102,708858.2598950312
103,523899.4798635875
104,617782.3134764803
105,326871.75326330133
106,242673.59046502272
107,318691.04015441815
108,242673.59046502272
109,739726.8033698427
110,391508.4484118272
111,457362.1152339234
112,457362.1152339234
113,326871.75326330133
114,326871.75326330133
115,380986.1466340914
116,523899.4798635875
117,226219.01785504006
118,242673.59046502272
119,606991.4698124944
120,523899.4798635875
121,285758.00624641817
122,447393.07800252514
123,260611.9366660197
124,615399.1946867462
125,528311.6320676543
126,359642.2596950136
127,260611.9366660197
128,301519.0962668352
129,242673.59046502272
130,285758.00624641817
131,2124737.109660976
132,699788.9503171239
133,318691.04015441815
134,715764.3954502326
135,519587.1238029493
136,1582374.1427580214
137,242673.59046502272
138,242673.59046502272
139,198861.3308927886
140,617782.3134764803
141,708858.2598950312
142,301519.0962668352
143,895356.696878964
144,992512.9566727653
145,513684.84358828794
146,359642.2596950136
147,380986.1466340914
148,225705.58307757005
149,242673.59046502272
150,523899.4798635875
151,1084085.475131316
152,992512.9566727653
153,708858.2598950312
154,252051.57301407485
155,378714.56945355114
156,359642.2596950136
157,189064.08965638097
158,285758.00624641817
159,540614.0749546445
160,318691.04015441815
161,188694.71711998378
162,215677.87699288107
163,606991.4698124944
164,242673.59046502272
165,215677.87699288107
166,380986.1466340914
167,188694.71711998378
168,252051.57301407485
169,540614.0749546445
170,242673.59046502272
171,1710038.0831045075
172,528311.6320676543
173,715764.3954502326
174,617782.3134764803
175,606991.4698124944
176,606991.4698124944
177,715764.3954502326
178,1120079.4777170303
179,513684.84358828794
180,617782.3134764803
181,188694.71711998378
182,188884.95022975586
183,631659.8831204558
184,457362.1152339234
185,285758.00624641817
